Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Smaug,@badassvader1,60,Guardian Fighter,1st Circle Initiate,0,2/25/2015 11:10:36 PM,,1/30/2016 3:16:55 PM,"","",
Silver Guard,@ricksaw4,70,Guardian Fighter,1st Circle Initiate,0,8/24/2015 9:35:41 PM,,11/29/2015 5:18:37 PM,"","",
Lo'gosh,@Cameron_Philips,62,Great Weapon Fighter,2nd Circle,0,10/4/2013 9:50:14 PM,,6/23/2016 6:42:16 AM,"","",,"no reply",Eladaylen@eladaylen,1/26/2014 8:43:22 PM
Pug Weasley,@skyjourn,67,Devoted Cleric,1st Circle Initiate,0,10/21/2013 10:10:18 PM,,6/21/2016 2:53:03 PM,"","",,"no replyx2",Donn Fiedler@layton72,11/17/2013 7:11:47 PM
Gressug,@gressell,70,Great Weapon Fighter,1st Circle Initiate,0,6/27/2015 4:58:51 PM,,6/23/2016 8:22:32 AM,"","",
Liliana Sylvanus,@norrandi,63,Hunter Ranger,1st Circle Initiate,0,1/31/2014 7:53:23 PM,,6/23/2016 7:32:39 AM,"","",,"1.31.14 no reply x3",Eladaylen@eladaylen,3/10/2014 10:01:40 PM
Rysha Dreynai,@dariuscornelius,61,Guardian Fighter,1st Circle Initiate,0,2/11/2015 5:42:29 AM,,2/3/2016 3:28:29 PM,"","",
Lan Mandragoran,@bryanl0911,60,Great Weapon Fighter,1st Circle Initiate,0,9/12/2015 3:54:51 PM,,6/17/2016 7:34:34 AM,"","",
Evelynn,@vtyjudtygjdgyj,68,Trickster Rogue,1st Circle Initiate,0,3/9/2014 9:45:15 AM,,4/28/2016 12:40:45 PM,"","",,"3.9.14 no reply x2",Eladaylen@eladaylen,3/12/2014 2:48:01 PM
Will,@xena4411,68,Hunter Ranger,1st Circle Initiate,0,3/17/2015 7:20:29 AM,,1/18/2016 6:40:24 AM,"","",
Dreaga Fox Ryder,@elbryan1869,62,Trickster Rogue,1st Circle Initiate,0,8/27/2015 9:13:06 PM,,6/21/2016 4:46:33 PM,"","alt Ka'Naelisthann in Blacks",8/28/2015 11:34:39 PM
Key ly,@toreberg,68,Scourge Warlock,Councilor,0,8/16/2014 2:03:36 PM,5/7/2016 6:25:15 PM,6/21/2016 12:58:26 PM,"","",
Nymton Rift Oussrae,@riftology,70,Scourge Warlock,1st Circle Initiate,0,9/29/2014 8:36:11 PM,,6/22/2016 9:44:24 PM,"","",
Chali,@arandompanda,62,Trickster Rogue,1st Circle Initiate,0,11/1/2014 12:35:52 AM,,6/22/2016 6:39:19 PM,"","",
Grim Reaper,@gabriel1941,70,Trickster Rogue,1st Circle Initiate,0,1/7/2015 7:07:43 PM,,11/16/2015 9:57:32 PM,"","14.2GS rising :D Surina alt",3/17/2015 5:11:17 PM
Amphisbaena,@kvetchus_,70,Oathbound Paladin,Councilor,0,6/10/2016 9:44:21 AM,6/10/2016 9:45:23 AM,6/23/2016 8:54:37 AM,"","",
Delvin Devine XIV,@sugarcookee,65,Oathbound Paladin,1st Circle Initiate,0,7/24/2015 5:49:17 PM,,10/27/2015 6:18:09 AM,"","",
Lord Karsus,@gabriel1941,11,Control Wizard,1st Circle Initiate,0,7/14/2015 11:08:46 AM,,11/16/2015 9:59:11 PM,"","",
Kaihlan,@nerofol,60,Devoted Cleric,1st Circle Initiate,0,8/8/2015 5:33:40 PM,,8/29/2015 5:00:44 AM,"","",
Lauryana,@genmarie,40,Hunter Ranger,1st Circle Initiate,0,8/8/2015 7:39:25 PM,,5/5/2016 11:42:08 PM,"","",
Snow,@francoisvs,66,Oathbound Paladin,1st Circle Initiate,0,8/21/2015 5:19:59 PM,,8/27/2015 6:08:34 AM,"","",
Thia Hawklight,@ElmarkoNZ,66,Oathbound Paladin,1st Circle Initiate,0,8/21/2015 10:24:33 PM,,8/27/2015 6:02:47 AM,"","",
Brkenny,@brkenny1,41,Trickster Rogue,1st Circle Initiate,0,8/17/2015 2:08:06 PM,,1/21/2016 5:26:31 PM,"","",
immortal_vision,@woozy11,26,Scourge Warlock,1st Circle Initiate,0,8/22/2015 11:48:01 PM,,8/27/2015 1:44:34 AM,"","",
Matt,@matiria78,20,Great Weapon Fighter,1st Circle Initiate,0,8/22/2015 8:13:23 PM,,8/24/2015 10:18:01 AM,"","",
Mialee Moonshadow,@mindylee316,26,Hunter Ranger,1st Circle Initiate,0,8/24/2015 7:54:32 PM,,9/2/2015 2:54:00 PM,"","",
